,aCO2-1,aCO2-2,aCO2-3,aCO2-4,aCO2-5,aCO2-6,Abundance,Type,phylum,class,order,family,genus,species
PASV2558,0,0.000235923,0,0.000393205,0.000117962,0.000589808,0.000222816,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV752,0.000353885,0.000471846,0,0.00074709,0,0.000314564,0.000314564,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV4828,0,0,0,0,0.001022334,0,0.000170389,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV526,0.000393205,0,0,0.000629129,0,0,0.000170389,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV637,0.000511167,0.000196603,0,0,0,0.000511167,0.000203156,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV821,0.000432526,0,0,7.86E-05,0.000511167,0.000196603,0.000203149,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV445,0.000550488,0.000550488,0,0,0,0,0.000183496,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV4077,0,0,0.001376219,0,0,0,0.00022937,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV2398,0,0.00074709,0,0.001140296,0,0,0.000314564,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV2377,0,0.001730104,0,0,0,0,0.000288351,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV2378,0,0.001926707,0,0,0,0,0.000321118,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV852,0.000157282,0.000668449,0,0,0,0.000314564,0.000190049,phoD,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__Pseudomonas_lini
PASV1032,0.000117962,0.000314564,0,0.000511167,0,0.000393205,0.000222816,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV4107,0,0,0.000550488,0,0.000629129,0,0.000196603,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV900,0.000314564,0.000550488,0.000196603,0,0,0,0.000176943,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV2454,0,0.000511167,0,0,0,0.00074709,0.00020971,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV3216,0,0,0,0,0,0.001572822,0.000262137,phoD,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,g__Afipia,s__Afipia_sp._GAS231
PASV5562,0,0,0,0,0.001533501,0,0.000255584,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV963,0.000157282,0,0,0,0.001297578,0,0.000242477,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV5563,0,0,0,0,0.001612142,0,0.00026869,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV767,0.000275244,0,0.00074709,0,0,0,0.000170389,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV5567,0,0,0,0,0.001100975,0,0.000183496,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV3227,0,0,0,0,0,0.001100975,0.000183496,phoD,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__unclassified_o__Burkholderiales,g__Rhizobacter,s__Rhizobacter_gummiphilus
PASV5564,0,0,0,0,0.00145486,0,0.000242477,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV2536,0,0.000314564,0,0.000275244,0.000393205,0.000275244,0.00020971,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV2380,0,0.001258257,0,0,0,0,0.00020971,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV2381,0,0.001376219,0,0,0,0,0.00022937,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV5566,0,0,0,0,0.001258257,0,0.00020971,phoD,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Phyllobacteriaceae,g__Mesorhizobium,s__Mesorhizobium_ciceri
PASV6951,0,0,0,0.001218937,0,0,0.000203156,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV4098,0,0,0.000786411,0.000432526,0,0,0.000203156,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV4118,0,0,0.000511167,0.000550488,0,0,0.000176943,phoD,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,g__Afipia,s__Afipia_sp._GAS231
PASV3222,0,0,0,0,0,0.001140296,0.000190049,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV4123,0,0,0.000471846,0,0.000589808,0,0.000176942,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV4512,0,0,7.86E-05,0.00070777,0.000393205,0,0.000196596,phoD,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,g__Bradyrhizobium,s__Bradyrhizobium_japonicum
PASV4155,0,0,0.000393205,0,0.00074709,0,0.000190049,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV2383,0,0.001179616,0,0,0,0,0.000196603,phoD,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Sinorhizobium,s__Sinorhizobium_medicae
PASV3224,0,0,0,0,0,0.001022334,0.000170389,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV6954,0,0,0,0.001100975,0,0,0.000183496,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV3225,0,0,0,0,0,0.001100975,0.000183496,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV6955,0,0,0,0.001100975,0,0,0.000183496,phoD,p__Actinobacteria_d__Bacteria,c__Actinobacteria_p__Actinobacteria,o__Streptosporangiales,f__Nocardiopsaceae,g__Nocardiopsis,s__Nocardiopsis_dassonvillei
PASV5569,0,0,0,0,0.001061655,0,0.000176943,phoD,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__Pseudomonas_stutzeri
PASV3226,0,0,0,0,0,0.001061655,0.000176943,phoD,p__unclassified_d__Bacteria,c__unclassified_d__Bacteria,o__unclassified_d__Bacteria,f__unclassified_d__Bacteria,g__unclassified_d__Bacteria,s__uncultured_bacterium
PASV5572,0,0,0,0,0.001100975,0,0.000183496,phoD,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,g__Bradyrhizobium,s__Bradyrhizobium_icense
PASV3233,0,0,0,0,0,0.001061655,0.000176943,phoD,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,g__Bradyrhizobium,s__Bradyrhizobium_lablabi
ASV364,0,0,0.001145968,0,0,0,0.000190995,Pro,p__Cercozoa,c__Filosa-Thecofilosea,o__Cryomonadida,f__Rhogostoma-lineage,g__Rhogostoma-lineage_X,s__Rhogostoma-lineage_X_sp.
ASV901,0,0.001145968,0,0.001862197,0,0,0.000501361,Pro,p__Cercozoa,c__Filosa-Sarcomonadea,o__Glissomonadida,f__Sandonidae,g__Sandona,s__Sandona_sp.
ASV28,0.015613809,0.018908466,0.01346512,0.010313709,0.011602922,0.006589314,0.01274889,Pro,p__Cercozoa,c__Filosa-Sarcomonadea,o__Glissomonadida,f__Sandonidae,g__Neoheteromita,s__Neoheteromita_caudratti
ASV613,0,0.000859476,0.000286492,0,0.002148689,0.000429738,0.000620733,Pro,p__Cercozoa,c__Filosa-Granofilosea,o__Cryptofilida,f__Mesofilidae,g__Mesofilidae_X,s__Mesofilidae_X_sp.
ASV1601,0.001289214,0,0,0,0.000859476,0.001289214,0.000572984,Pro,p__Cercozoa,c__Endomyxa,o__Vampyrellida,f__Thalassomyxa-lineage,g__Thalassomyxa-lineage_X,s__Thalassomyxa-lineage_X_sp.
ASV953,0,0,0,0.001718951,0,0.000429738,0.000358115,Pro,p__Conosa,c__Variosea,o__ATCC50593-Flamella-WIM80-lineage,f__Flamella-lineage,g__Flamella,s__unclassified_g__Flamella
ASV893,0,0,0,0.002005443,0,0,0.000334241,Pro,p__Apicomplexa,c__Apicomplexa_X,o__Gregarines,f__Gregarines_X,g__Gregarines_XX,s__Gregarines_XX_sp.
ASV87,0,0.001002722,0.005156854,0.002291935,0.001145968,0.000859476,0.001742826,Pro,p__Conosa,c__Variosea,o__Variosea_X,f__Filamoebidae,g__Filamoeba,s__unclassified_g__Filamoeba
ASV148,0.002291935,0.002148689,0.002864919,0,0.00143246,0.001575705,0.001718951,Pro,p__Conosa,c__Variosea,o__Variosea_X,f__Variosea_XX,g__Variosea_XXX,s__Variosea_XXX_sp.
ASV130,0.002291935,0.002578427,0.003294657,0.002578427,0.002721673,0.001575705,0.002506804,Pro,p__Conosa,c__Variosea,o__Variosea_X,f__Cavosteliids,g__Schizoplasmodiopsis,s__Schizoplasmodiopsis_vulgaris
ASV4616,0,0.002005443,0,0,0,0,0.000334241,Pro,p__unclassified_k__Opisthokonta,c__unclassified_k__Opisthokonta,o__unclassified_k__Opisthokonta,f__unclassified_k__Opisthokonta,g__unclassified_k__Opisthokonta,s__unclassified_k__Opisthokonta
ASV1130,0,0,0,0.00071623,0.000572984,0,0.000214869,Pro,p__Cercozoa,c__unclassified_p__Cercozoa,o__unclassified_p__Cercozoa,f__unclassified_p__Cercozoa,g__unclassified_p__Cercozoa,s__unclassified_p__Cercozoa
ASV1455,0,0,0,0,0.001718951,0,0.000286492,Pro,p__Cercozoa,c__Filosa-Sarcomonadea,o__Glissomonadida,f__Allapsidae,g__Group-Te,s__Group-Te_sp.
ASV621,0.002435181,0,0.000286492,0,0,0,0.000453612,Pro,p__Conosa,c__Variosea,o__Variosea_X,f__Variosea_XX,g__Variosea_XXX,s__Variosea_XXX_sp.
ASV1936,0.000859476,0,0,0,0.000429738,0,0.000214869,Pro,p__Cercozoa,c__unclassified_p__Cercozoa,o__unclassified_p__Cercozoa,f__unclassified_p__Cercozoa,g__unclassified_p__Cercozoa,s__unclassified_p__Cercozoa
ASV1170,0.000859476,0.000572984,0,0.000572984,0,0,0.000334241,Pro,p__Cercozoa,c__unclassified_p__Cercozoa,o__unclassified_p__Cercozoa,f__unclassified_p__Cercozoa,g__unclassified_p__Cercozoa,s__unclassified_p__Cercozoa
ASV2332,0.001145968,0,0,0,0,0,0.000190995,Pro,p__Cercozoa,c__Filosa-Sarcomonadea,o__Cercomonadida,f__Paracercomonadidae,g__Paracercomonas,s__Paracercomonas_vonderheydeni
ASV373,0.000859476,0.003151411,0.000572984,0,0,0.000429738,0.000835602,Pro,p__Perkinsea,c__Perkinsida,o__Perkinsida_X,f__Perkinsida_XX,g__Perkinsida_XXX,s__Perkinsida_XXX_sp.
ASV1041,0.002578427,0,0,0.000572984,0,0,0.000525235,Pro,p__unclassified_k__Opisthokonta,c__unclassified_k__Opisthokonta,o__unclassified_k__Opisthokonta,f__unclassified_k__Opisthokonta,g__unclassified_k__Opisthokonta,s__unclassified_k__Opisthokonta
ASV2260,0.008165019,0,0,0,0,0,0.001360837,Pro,p__Cercozoa,c__Endomyxa,o__Vampyrellida,f__Leptophryidae,g__Leptophryidae_X,s__Leptophryidae_X_sp.
ASV1383,0.005156854,0.008451511,0,0,0,0.033376307,0.007830779,Pro,p__Lobosa,c__Tubulinea,o__Echinamoebida,f__Vermamoebidae,g__unclassified_f__Vermamoebidae,s__unclassified_f__Vermamoebidae
ASV163,0,0,0.003151411,0.003008165,0,0,0.001026596,Pro,p__Cercozoa,c__Filosa-Sarcomonadea,o__Glissomonadida,f__Sandonidae,g__Sandona,s__Sandona_sp.
ASV2359,0.001002722,0,0,0,0,0,0.00016712,Pro,p__unclassified_k__Opisthokonta,c__unclassified_k__Opisthokonta,o__unclassified_k__Opisthokonta,f__unclassified_k__Opisthokonta,g__unclassified_k__Opisthokonta,s__unclassified_k__Opisthokonta
ASV125,0.002148689,0.001575705,0.003724395,0.004870362,0.002721673,0.002435181,0.002912668,Pro,p__Conosa,c__Variosea,o__Variosea_X,f__Acramoebidae,g__unclassified_f__Acramoebidae,s__unclassified_f__Acramoebidae
ASV95,0,0,0.004583871,0,0,0.001718951,0.00105047,Pro,p__Lobosa,c__Lobosa-G1,o__Lobosa-G1_X,f__Lobosa-G1_XX,g__Lobosa-G1_XXX,s__Lobosa-G1_XXX_sp.
ASV146,0,0.002721673,0.003008165,0.002148689,0.001002722,0.001718951,0.0017667,Pro,p__Conosa,c__Variosea,o__Variosea_X,f__Filamoebidae,g__Filamoeba,s__Filamoeba_sp.
ASV1007,0,0,0,0.00071623,0.002291935,0.000572984,0.000596858,Pro,p__Cercozoa,c__Filosa-Sarcomonadea,o__Glissomonadida,f__Allapsidae,g__Allapsidae_X,s__Allapsidae_X_sp.
ASV928,0,0,0,0.00143246,0,0,0.000238743,Pro,p__Ciliophora,c__Spirotrichea,o__Hypotrichia,f__unclassified_o__Hypotrichia,g__unclassified_o__Hypotrichia,s__unclassified_o__Hypotrichia
ASV2328,0.001289214,0,0,0,0,0,0.000214869,Pro,p__Cercozoa,c__Filosa-Sarcomonadea,o__Glissomonadida,f__Allapsidae,g__Allantion,s__Allantion_sp.
ASV2046,0.001145968,0,0,0,0.000286492,0,0.000238743,Pro,p__Cercozoa,c__Endomyxa,o__Vampyrellida,f__Vampyrellida_X,g__unclassified_f__Vampyrellida_X,s__unclassified_f__Vampyrellida_X
ASV3263,0,0,0,0,0,0.001862197,0.000310366,Pro,p__Conosa,c__Variosea,o__Variosea_X,f__unclassified_o__Variosea_X,g__unclassified_o__Variosea_X,s__unclassified_o__Variosea_X
ASV1456,0.00071623,0.001575705,0,0,0.001145968,0,0.000572984,Pro,p__Cercozoa,c__Filosa-Imbricatea,o__Euglyphida,f__Euglyphida_X,g__Euglyphida_XX,s__Euglyphida_XX_sp.
ASV860,0,0,0,0.005013608,0.0053001,0,0.001718951,Pro,p__Cercozoa,c__Filosa-Sarcomonadea,o__Cercomonadida,f__Cercomonadidae,g__Eocercomonas,s__Eocercomonas_ramosa
ASV175,0.006159576,0.003294657,0.002864919,0.002005443,0.001145968,0.001145968,0.002769422,Pro,p__unclassified_k__Opisthokonta,c__unclassified_k__Opisthokonta,o__unclassified_k__Opisthokonta,f__unclassified_k__Opisthokonta,g__unclassified_k__Opisthokonta,s__unclassified_k__Opisthokonta
ASV2310,0.001718951,0,0,0,0,0,0.000286492,Pro,p__Cercozoa,c__Filosa-Sarcomonadea,o__Cercomonadida,f__Cercomonadidae,g__Neocercomonas,s__Neocercomonas_jutlandica
ASV270,0,0,0.00143246,0,0,0,0.000238743,Pro,p__Cercozoa,c__Filosa-Sarcomonadea,o__Glissomonadida,f__Allapsidae,g__Group-Te,s__Group-Te_sp.
ASV2934,0,0.006302822,0,0,0,0,0.00105047,Pro,p__Lobosa,c__Tubulinea,o__Echinamoebida,f__Vermamoebidae,g__unclassified_f__Vermamoebidae,s__unclassified_f__Vermamoebidae
ASV1820,0,0,0,0,0.005013608,0.001575705,0.001098219,Pro,p__Cercozoa,c__Filosa-Sarcomonadea,o__Glissomonadida,f__unclassified_o__Glissomonadida,g__unclassified_o__Glissomonadida,s__unclassified_o__Glissomonadida
ASV115,0.003867641,0.010170463,0.004010887,0.003151411,0.00601633,0.001575705,0.00479874,Pro,p__Cercozoa,c__Filosa-Sarcomonadea,o__Glissomonadida,f__Sandonidae,g__unclassified_f__Sandonidae,s__unclassified_f__Sandonidae
ASV166,0,0.002864919,0.003437903,0,0.003151411,0.00071623,0.001695077,Pro,p__Conosa,c__Variosea,o__Variosea_X,f__Phalansteriidae,g__Phalansterium,s__Phalansterium_sp.
ASV1424,0,0,0,0,0.001862197,0,0.000310366,Pro,p__unclassified_k__Opisthokonta,c__unclassified_k__Opisthokonta,o__unclassified_k__Opisthokonta,f__unclassified_k__Opisthokonta,g__unclassified_k__Opisthokonta,s__unclassified_k__Opisthokonta
ASV2305,0.002005443,0,0,0,0,0,0.000334241,Pro,p__Cercozoa,c__Filosa-Sarcomonadea,o__Cercomonadida,f__Cercomonadidae,g__Cercomonas,s__Cercomonas_plasmodialis
ASV321,0,0.006302822,0.000859476,0,0,0.00071623,0.001313088,Pro,p__Conosa,c__Variosea,o__Variosea_X,f__Variosea_XX,g__Variosea_XXX,s__Variosea_XXX_sp.
ASV120,0.008308265,0.004010887,0.003151411,0.007162298,0,0.001002722,0.003939264,Pro,p__Ciliophora,c__Colpodea,o__Platyophryida,f__Platyophryidae,g__Platyophrya,s__unclassified_g__Platyophrya
ASV2349,0.001145968,0,0,0,0,0,0.000190995,Pro,p__Lobosa,c__Tubulinea,o__Nolandida,f__Nolandellidae,g__Nolandellidae_X,s__Nolandellidae_X_sp.
ASV445,0,0.000286492,0.000572984,0.000859476,0.002291935,0.000143246,0.000692356,Pro,p__Apicomplexa,c__Apicomplexa_X,o__Coccidia,f__Eucoccidiorida,g__Cryptosporidium,s__Cryptosporidium_struthionis
ASV879,0,0.008594757,0,0.002291935,0,0.002578427,0.002244187,Pro,p__Lobosa,c__Tubulinea,o__Echinamoebida,f__Vermamoebidae,g__Hartmannella,s__Hartmannella_sp.
ASV4622,0,0.001718951,0,0,0,0,0.000286492,Pro,p__Cercozoa,c__Filosa-Sarcomonadea,o__Glissomonadida,f__Sandonidae,g__unclassified_f__Sandonidae,s__unclassified_f__Sandonidae
ASV1037,0,0,0,0.001145968,0,0,0.000190995,Pro,p__Cercozoa,c__Filosa-Sarcomonadea,o__Glissomonadida,f__Sandonidae,g__Sandona,s__Sandona_campae
ASV4591,0,0.004727116,0,0,0,0,0.000787853,Pro,p__Lobosa,c__Lobosa-G1,o__Lobosa-G1_X,f__Lobosa-G1_XX,g__Lobosa-G1_XXX,s__Lobosa-G1_XXX_sp.
ASV61,0,0.00673256,0.006302822,0.008881249,0.008165019,0.004154133,0.005705964,Pro,p__Cercozoa,c__Endomyxa,o__Vampyrellida,f__Leptophryidae,g__Platyreta,s__Platyreta_germanica
ASV706,0.001289214,0,0,0.000572984,0.000286492,0,0.000358115,Pro,p__Conosa,c__Variosea,o__Variosea_X,f__AND16-lineage,g__AND16-lineage_X,s__AND16-lineage_X_sp.
ASV3265,0,0,0,0,0,0.001145968,0.000190995,Pro,p__Lobosa,c__Lobosa-G1,o__Lobosa-G1_X,f__Lobosa-G1_XX,g__Lobosa-G1_XXX,s__Lobosa-G1_XXX_sp.
ASV66,0.009167741,0.009597479,0.007019052,0.003437903,0.006302822,0.003437903,0.006493817,Pro,p__Cercozoa,c__Filosa-Sarcomonadea,o__Cercomonadida,f__unclassified_o__Cercomonadida,g__unclassified_o__Cercomonadida,s__unclassified_o__Cercomonadida
ASV4590,0,0.007019052,0,0,0,0,0.001169842,Pro,p__Lobosa,c__Lobosa-G1,o__Lobosa-G1_X,f__Lobosa-G1_XX,g__Lobosa-G1_XXX,s__Lobosa-G1_XXX_sp.
ASV228,0.002291935,0.02549778,0.001718951,0.002435181,0.003151411,0.001145968,0.006040204,Pro,p__unclassified_k__Opisthokonta,c__unclassified_k__Opisthokonta,o__unclassified_k__Opisthokonta,f__unclassified_k__Opisthokonta,g__unclassified_k__Opisthokonta,s__unclassified_k__Opisthokonta
ASV2330,0.001289214,0,0,0,0,0,0.000214869,Pro,p__Conosa,c__Variosea,o__Variosea_X,f__Variosea_XX,g__Variosea_XXX,s__Variosea_XXX_sp.
ASV303,0,0,0.001002722,0,0,0,0.00016712,Pro,p__Cercozoa,c__unclassified_p__Cercozoa,o__unclassified_p__Cercozoa,f__unclassified_p__Cercozoa,g__unclassified_p__Cercozoa,s__unclassified_p__Cercozoa
ASV124,0.003724395,0.005443346,0.003724395,0.004154133,0.004727116,0.001575705,0.003891515,Pro,p__Cercozoa,c__Filosa-Imbricatea,o__Euglyphida,f__Trinematidae,g__unclassified_f__Trinematidae,s__unclassified_f__Trinematidae
ASV1077,0,0,0,0.000859476,0.000859476,0.000429738,0.000358115,Pro,p__Lobosa,c__Tubulinea,o__Nolandida,f__Nolandellidae,g__Nolandellidae_X,s__Nolandellidae_X_sp.
ASV2354,0.001002722,0,0,0,0,0,0.00016712,Pro,p__Ciliophora,c__Nassophorea,o__Nassophorea_X,f__Microthoracidae,g__Microthoracidae_X,s__Microthoracidae_X_sp.
ASV547,0,0.000286492,0.000286492,0.000429738,0,0,0.00016712,Pro,p__Cercozoa,c__Filosa-Sarcomonadea,o__Cercomonadida,f__Paracercomonadidae,g__Paracercomonas,s__Paracercomonas_filosa
ASV968,0,0,0,0.00143246,0,0.001289214,0.000453612,Pro,p__Cercozoa,c__Filosa-Sarcomonadea,o__Glissomonadida,f__Sandonidae,g__unclassified_f__Sandonidae,s__unclassified_f__Sandonidae
ASV492,0,0.000859476,0.000429738,0,0,0.000286492,0.000262618,Pro,p__Apicomplexa,c__Apicomplexa_X,o__unclassified_c__Apicomplexa_X,f__unclassified_c__Apicomplexa_X,g__unclassified_c__Apicomplexa_X,s__unclassified_c__Apicomplexa_X
ASV1853,0,0,0,0,0.001289214,0,0.000214869,Pro,p__Cercozoa,c__Filosa-Sarcomonadea,o__Glissomonadida,f__Sandonidae,g__Neoheteromita,s__Neoheteromita_sp.
ASV2345,0.001145968,0,0,0,0,0,0.000190995,Pro,p__Cercozoa,c__Filosa-Sarcomonadea,o__Glissomonadida,f__Sandonidae,g__Neoheteromita,s__unclassified_g__Neoheteromita
ASV922,0,0,0,0.002291935,0,0,0.000381989,Pro,p__Apicomplexa,c__Apicomplexa_X,o__Gregarines,f__Gregarines_X,g__Gregarines_XX,s__Gregarines_XX_sp.
ASV2341,0.001145968,0.001145968,0,0,0,0,0.000381989,Pro,p__unclassified_k__Opisthokonta,c__unclassified_k__Opisthokonta,o__unclassified_k__Opisthokonta,f__unclassified_k__Opisthokonta,g__unclassified_k__Opisthokonta,s__unclassified_k__Opisthokonta
ASV944,0.00143246,0,0,0.001575705,0.000429738,0,0.000572984,Pro,p__unclassified_k__Opisthokonta,c__unclassified_k__Opisthokonta,o__unclassified_k__Opisthokonta,f__unclassified_k__Opisthokonta,g__unclassified_k__Opisthokonta,s__unclassified_k__Opisthokonta
ASV1982,0,0.00071623,0,0,0.000429738,0.001145968,0.000381989,Pro,p__Lobosa,c__Tubulinea,o__Echinamoebida,f__Echinamoebidae,g__Echinamoeba,s__Echinamoeba_exundans
ASV147,0,0.001718951,0.003008165,0,0,0,0.000787853,Pro,p__Cercozoa,c__Endomyxa,o__Vampyrellida,f__Leptophryidae,g__Leptophryidae_X,s__Leptophryidae_X_sp.
ASV1919,0.002578427,0,0,0,0.000429738,0,0.000501361,Pro,p__Ciliophora,c__Colpodea,o__Colpodida,f__Colpodida_X,g__Colpodida_XX,s__Colpodida_XX_sp.
ASV925,0,0,0,0.001862197,0.001289214,0,0.000525235,Pro,p__Cercozoa,c__Filosa-Thecofilosea,o__Cryomonadida,f__unclassified_o__Cryomonadida,g__unclassified_o__Cryomonadida,s__unclassified_o__Cryomonadida
ASV2267,0.004583871,0,0,0,0,0.003867641,0.001408585,Pro,p__Ciliophora,c__Colpodea,o__Platyophryida,f__Sorogenidae,g__unclassified_f__Sorogenidae,s__unclassified_f__Sorogenidae
ASV2371,0.001002722,0,0,0,0,0,0.00016712,Pro,p__Conosa,c__Variosea,o__Variosea_X,f__Variosea_XX,g__Variosea_XXX,s__Variosea_XXX_sp.
ASV1136,0,0,0,0.000429738,0.000429738,0.000143246,0.00016712,Pro,p__Amoebozoa_X,c__Amoebozoa_XX,o__UI13E03-lineage,f__UI13E03-lineage_X,g__UI13E03-lineage_XX,s__UI13E03-lineage_XX_sp.
ASV89,0.00143246,0.000429738,0.005586592,0.001289214,0.000286492,0.001145968,0.001695077,Pro,p__Conosa,c__Variosea,o__Variosea_X,f__Acramoebidae,g__Acramoeba,s__Acramoeba_dendroida
